dish_name,ingredients,price_usd
Spaghetti Carbonara,"spaghetti, egg yolk, pancetta, pecorino romano, black pepper",21.1
Margherita Pizza,"pizza dough, tomato sauce, mozzarella, basil, olive oil",21.09
Lasagna alla Bolognese,"lasagna sheets, ground beef, tomato sauce, onion, carrot, celery, bechamel, parmesan",22.18
Penne Arrabbiata,"penne pasta, garlic, olive oil, red chili flakes, tomato sauce",23.47
Risotto alla Milanese,"arborio rice, saffron, butter, onion, white wine, parmesan",23.07
Osso Buco,"veal shank, flour, olive oil, white wine, onion, carrot, celery, tomato paste, broth",30.2
Fettuccine Alfredo,"fettuccine pasta, butter, heavy cream, parmesan",18.33
Gnocchi al Pomodoro,"gnocchi, tomato sauce, garlic, olive oil, basil, parmesan",23.19
Pizza Quattro Formaggi,"pizza dough, mozzarella, gorgonzola, fontina, parmesan",21.14
Calzone,"pizza dough, tomato sauce, mozzarella, ham, mushrooms, ricotta",20.88
Tagliatelle al Ragu,"tagliatelle, ground beef, ground pork, onion, carrot, celery, tomato paste, red wine",24.97
Tortellini in Brodo,"tortellini, chicken broth, parmesan",24.01
Polenta con Salsiccia,"polenta, italian sausage, tomato sauce, onion, parmesan",17.19
Pasta Primavera,"penne pasta, zucchini, bell peppers, cherry tomatoes, garlic, olive oil, basil",24.24
Spaghetti alle Vongole,"spaghetti, clams, garlic, olive oil, white wine, parsley, chili flakes",23.26
Melanzane alla Parmigiana,"eggplant, tomato sauce, mozzarella, parmesan, basil, breadcrumbs",12.79
Saltimbocca alla Romana,"veal cutlets, prosciutto, sage, white wine, butter",32.25
Arancini,"risotto, mozzarella, breadcrumbs, egg, tomato sauce, ground beef",15.5
Supplì,"risotto, mozzarella, breadcrumbs, egg, tomato sauce",10.73
Panzanella,"stale bread, tomato, red onion, cucumber, basil, olive oil, vinegar",10.8
Insalata Caprese,"tomato, mozzarella, basil, olive oil, salt",12.79
Bruschetta,"bread, tomato, garlic, olive oil, basil",13.19
Bucatini all'Amatriciana,"bucatini, guanciale, pecorino romano, tomato sauce, chili flakes",22.03
Linguine al Pesto,"linguine, basil, pine nuts, garlic, parmesan, olive oil",18.17
Spaghetti Aglio e Olio,"spaghetti, garlic, olive oil, chili flakes, parsley",23.8
Cacio e Pepe,"spaghetti, pecorino romano, black pepper",19.43
Pasta alla Norma,"rigatoni, eggplant, tomato sauce, ricotta salata, basil",24.34
Zuppa Toscana,"italian sausage, kale, potatoes, onion, garlic, cream, chicken broth",23.92
Stracciatella Soup,"chicken broth, eggs, parmesan, semolina",11.56
Italian Wedding Soup,"meatballs, escarole, chicken broth, egg, parmesan, pastina",14.44
Seafood Risotto,"arborio rice, shrimp, mussels, clams, garlic, onion, white wine, fish stock",23.57
Minestrone,"onion, carrot, celery, zucchini, tomato, beans, pasta, broth",9.95
Tiramisu,"ladyfingers, espresso, mascarpone, egg yolk, sugar, cocoa powder",11.31
Panna Cotta,"cream, sugar, gelatin, vanilla",9.25
Cannoli,"cannoli shells, ricotta, sugar, chocolate chips, orange zest",10.76
Gelato alla Nocciola,"milk, cream, hazelnuts, sugar, egg yolks",11.2
Affogato,"vanilla gelato, espresso",8.39
Zeppole,"flour, eggs, butter, sugar, vanilla, oil",10.89
Sfogliatelle,"flour, semolina, ricotta, sugar, cinnamon, candied citrus",9.42
Biscotti,"flour, sugar, almonds, eggs, vanilla",8.2
Crostata di Frutta,"shortcrust pastry, pastry cream, fresh fruit",9.2
Focaccia,"flour, yeast, olive oil, rosemary, salt",19.71
Pane all’Aglio,"bread, garlic, butter, parsley",17.34
Spaghetti Puttanesca,"spaghetti, tomato, anchovies, olives, capers, garlic, chili flakes",20.02
Pasta al Forno,"rigatoni, tomato sauce, mozzarella, parmesan, ground beef",25.04
Ravioli di Ricotta e Spinaci,"ravioli, ricotta, spinach, butter, sage, parmesan",17.73
Tortelloni al Burro e Salvia,"tortelloni, butter, sage, parmesan",16.51
Orecchiette con Cime di Rapa,"orecchiette, broccoli rabe, garlic, chili flakes, anchovies, olive oil",20.45
Spaghetti al Nero di Seppia,"spaghetti, squid ink, garlic, onion, white wine, chili flakes",18.38
Carpaccio di Manzo,"beef tenderloin, arugula, parmesan, lemon, olive oil",27.78
